Venue,Month,EID,Topic,Count
21814002,12,227185172,night,1
21814002,12,227185172,talk,1
21814002,12,227185172,annual,1
21814002,12,227185172,morning,1
21814002,12,227185172,library,1
21814002,12,227185172,entrepreneurs,1
21814002,12,227185172,game,1
21814002,12,227185172,party,1
21814002,8,jlfzhlytlbgb,steel,1
21814002,8,jlfzhlytlbgb,tonight,1
21814002,8,jlfzhlytlbgb,beginner,1
21814002,8,jlfzhlytlbgb,discussion,1
21814002,8,jlfzhlytlbgb,note,1
21814002,8,jlfzhlytlbgb,brunch,1
21814002,8,jlfzhlytlbgb,intro,1
21814002,8,jlfzhlytlbgb,discovery,1
21814002,8,jlfzhlytlbgb,weekly,1
21814002,8,jlfzhlytlbgb,class,1
21814002,8,jlfzhlytlbhc,brunch,1
21814002,8,jlfzhlytlbhc,intro,1
21814002,8,jlfzhlytlbhc,beginner,1
21814002,8,jlfzhlytlbhc,weekly,1
21814002,8,jlfzhlytlbhc,note,1
21814002,8,jlfzhlytlbhc,discussion,1
21814002,8,jlfzhlytlbhc,class,1
21814002,8,jlfzhlytlbhc,discovery,1
21814002,8,jlfzhlytlbhc,tonight,1
21814002,8,jlfzhlytlbhc,steel,1
21814002,8,jlfzhlytlbpb,tonight,1
21814002,8,jlfzhlytlbpb,note,1
21814002,8,jlfzhlytlbpb,discussion,1
21814002,8,jlfzhlytlbpb,brunch,1
21814002,8,jlfzhlytlbpb,discovery,1
21814002,8,jlfzhlytlbpb,beginner,1
21814002,8,jlfzhlytlbpb,steel,1
21814002,8,jlfzhlytlbpb,class,1
21814002,8,jlfzhlytlbpb,intro,1
21814002,8,jlfzhlytlbpb,weekly,1
21814002,8,jlfzhlytlbxb,beginner,1
21814002,8,jlfzhlytlbxb,intro,1
21814002,8,jlfzhlytlbxb,discussion,1
21814002,8,jlfzhlytlbxb,steel,1
21814002,8,jlfzhlytlbxb,brunch,1
21814002,8,jlfzhlytlbxb,note,1
21814002,8,jlfzhlytlbxb,tonight,1
21814002,8,jlfzhlytlbxb,weekly,1
21814002,8,jlfzhlytlbxb,discovery,1
21814002,8,jlfzhlytlbxb,class,1
21814002,9,jlfzhlytmbcb,intro,1
21814002,9,jlfzhlytmbcb,class,1
21814002,9,jlfzhlytmbcb,beginner,1
21814002,9,jlfzhlytmbcb,discussion,1
21814002,9,jlfzhlytmbcb,weekly,1
21814002,9,jlfzhlytmbcb,note,1
21814002,9,jlfzhlytmbcb,discovery,1
21814002,9,jlfzhlytmbcb,tonight,1
21814002,9,jlfzhlytmbcb,steel,1
21814002,9,jlfzhlytmbcb,brunch,1
21814002,9,jlfzhlytmbdc,class,1
21814002,9,jlfzhlytmbdc,discussion,1
21814002,9,jlfzhlytmbdc,steel,1
21814002,9,jlfzhlytmbdc,note,1
